"Index","Name","Category","Definition Link"
,"ABA routing number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-aba-routing"
,"All Credential Types","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-all-creds"
,"All full names","General","https://learn.microsoft.com/en-us/purview/sit-defn-all-full-names"
,"All medical terms and conditions","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-all-medical-terms-conditions"
,"All Physical Addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-all-physical-addresses"
,"Amazon S3 Client Secret Access Key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-amazon-s3-client-secret-access-key"
,"Argentina national identity (DNI) number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-argentina-national-identity-numbers"
,"Argentina Unique Tax Identification Key (CUIT/CUIL)","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-argentina-unique-tax-identification-key"
,"ASP.NET machine Key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-asp-net-machine-key"
,"Australia bank account number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-australia-bank-account-number"
,"Australian Business Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-australia-business-number"
,"Australian Company Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-australia-business-number"
,"Australia Driver's License Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-australia-drivers-license-number"
,"Australia medical account number","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-australia-medical-account-number"
,"Australia passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-australia-passport-number"
,"Australia physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-australia-physical-addresses"
,"Australia tax file number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-australia-tax-file-number"
,"Austria Driver's License Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-austria-drivers-license-number"
,"Austria identity card","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-austria-identity-card"
,"Austria passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-austria-passport-number"
,"Austria physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-austria-physical-addresses"
,"Austria social security number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-austria-social-security-number"
,"Austria tax identification number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-austria-tax-identification-number"
,"Austria Value Added Tax (VAT) Number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-austria-value-added-tax"
,"Azure App Service deployment password","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-app-service-deployment-password"
,"Azure Batch shared access key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-batch-shared-access-key"
,"Azure Bot Framework secret key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-bot-framework-secret-key"
,"Azure Bot service app secret","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-bot-service-app-secret"
,"Azure Cognitive Search API key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-cognitive-search-api-key"
,"Azure Cognitive Service key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-cognitive-service-key"
,"Azure Container Registry access key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-container-registry-access-key"
,"Azure Cosmos DB account access key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-cosmos-db-account-access-key"
,"Azure Databricks personal access token","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-databricks-personal-access-token"
,"Azure DevOps app secret","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-devops-app-secret"
